Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Keuangan (Financial Planning & Performance Gas)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Manajemen Keuangan, Akuntansi, Teknik Industri, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e4aab5fc-4ed4-4136-b1e9-807dc75ec13f"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Internal Control Testing)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Manajemen, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=93263da2-7305-4b8a-a5cf-7b7c596b0616"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Transformation Program Intern)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","D4/S1","Teknik Informatika, Teknologi Informasi, Matematika, Bisnis Digital, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=af7999dc-7864-4d05-add4-8133b0c6baaa"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (DNRE TCI)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Kimia, Teknik Bioenergi dan Kemurgi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b5bb6fdb-859b-4106-9b19-7e50fa30a4dc"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Supply Chain Planning & Optimization)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Akturia, Statistik, Data Analyst","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4ab1c979-051c-413f-b703-7951dfc3dea6"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Digital Learning Infrastructure)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","D4/S1","Teknik Industri, Desain Grafis, Desain Komunikasi Visual, Akuntansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5cfddc2f-bc56-474c-a3f2-7a008284a285"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Geothermal Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Kimia, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=12149a8c-88e6-414a-9ec2-75efad255212"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Strategic Planning, Management System & Culture)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=50f5b2f9-32b3-4e28-a9d9-74a756abe925"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Land Ownership)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknologi Industri Pertanian (Agroindustri)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=45150db0-0b2e-4345-b7e4-76701151d0c7"
