Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services (SS ICT)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=6de309e6-aaec-4358-90d4-1ae11846f5d9"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Enterprise IT (IT Architecture & Governance)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Teknik Industri, Sistem Informasi, Teknik Elektro, Teknik Telekomunikasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f49fd11f-ef72-4a25-a2ea-0f0a95670884"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Project (BPD HC)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Elektro, Informatika, Teknik Informatika, Teknik Industri, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2b1864c0-cf81-4925-b673-1245f1037f5b"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Integrated Quantity Assurance Downstream)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Fisika, Teknik Kimia, Analisis Kimia, Analis Kimia, Applied Chemistry, Applied Chemistry and Biotechnology","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c916ef66-4165-43d9-8182-0d6d6940f625"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Portfolio & New Business - Environment)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","D4/S1","Teknik Lingkungan, Rekayasa Infrastruktur Lingkungan, Perencanaan Wilayah & Kota, Planologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a0db7a38-f46e-4877-831a-0f5af122d296"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Asset Integrity Planning, Policy & Governance)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Lingkungan, Teknik Elektro, Teknik Industri, Teknik Mesin, Teknik Kimia, Teknik Sipil, Teknik Geologi, Teknik Geofisika, Ilmu Komputer","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=cce271df-3cc1-454a-a76d-0f959b77bc86"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SPPU (Business Development (PD II))","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Business Management, Teknik Industri, Teknik Kimia, Teknik Perminyakan, Ekonomi, Business Administration","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d119fc9f-fa6a-4d92-a9de-100571566de7"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Portfolio & New Business - ERCM)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Mesin, Rekayasa Keselamatan Kebakaran","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=fb4c65e0-2474-4e71-b9bf-0e6e76ce1582"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Emerging Risk Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hubungan Internasional, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8b912528-81cc-417f-8038-0e8b9e6a8332"
