Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina International Shipping - Fungsi Sustainability (Sustainability Strategy)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Lingkungan, Rekayasa Infrastruktur Lingkungan, Teknik lainnya yang relevan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8438d903-1a38-4e42-9d99-370d7d7b6136"
"INTERNSHIP 2026 - PT Pertamina Trans Kontinental - Fungsi Marketing Support Shipping","PT Pertamina","Kota Administrasi Jakarta Utara","Oil & Energy","Energy","S1","Manajemen Pemasaran, Manajemen, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b4036871-64e7-4bc0-84db-3d1a5e74f4d5"
"INTERNSHIP 2026 - PT Pertamina EP Cepu (PEPC) - Fungsi HSSE","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Psikologi, Statistika, Management, Kesehatan Masyarakat","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2458373f-af2a-4f77-a22a-3c31c1012ce3"
"INTERNSHIP 2026 - PT Pertamina International Shipping - Fungsi Controller (Management Report & Budget Control)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Akuntansi, Manajemen, Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d4d19dc0-d196-43db-972c-4d98d9cbf4b9"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Legal Counsel (Legal Counsel Corp. Matters & BS)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=af3e4b4c-27fd-4c17-b6ea-4466b92eec44"
"INTERNSHIP 2026 - PT Pertamina Hulu Rokan - Fungsi Risk Management","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknologi Informasi, Sistem Informasi, Sistem Komputer, Teknik Komputer, Ilmu Komputer, Informatika, Informatics, Sistem Informatika, Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=eb9a91a2-1144-4c55-a496-4561d4f4c250"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Corporate Secretary (Corporate Social Responsibility)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Biologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=413d0d8a-5806-4a11-9ff4-636c5aa614ea"
"INTERNSHIP 2026 - PT Pertamina EP Cepu (PEPC) - Fungsi SDM (Organization & Quality Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Psikologi, Statistika, Management, Bussines Administration","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=98baf7d9-a58c-425f-ba47-0da36895bbea"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Corporate Secretary (LMF Strategic Plan & Controlling)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Konservasi Sumberdaya Hutan dan Ekowisata","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2c6eb954-c39e-4aab-8242-1294bf71c3d5"
