Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Internal Audit","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Akuntansi, Keuangan, Manajemen, Teknik Industri, Sistem Informasi, Bisnis atau jurusan relevan lainnya.","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c937cff9-8065-43c5-9cf7-225e100cfc56"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Business Strategy","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Industri, Teknik Sipil","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=76b554f7-f37c-4a1e-8e24-22cf3be963fa"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Manager Onshore & Offshore Project I","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Perkapalan, Teknik Mesin, Teknik Sistem Perkapalan, Teknik Elektro","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=fe304084-8664-46a3-9dde-1f1687b7f2b2"
"INTERNSHIP 2026 - PT Perta Arun Gas - Fungsi Business Development (Business Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Semua Jurusan Teknik, Ekonomi, Manajemen Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e1da25dc-1479-4e7c-8156-25c678db09ec"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Retail Sales Kalimantan","PT Pertamina","Kota Balikpapan","Oil & Energy","Energy","S1","Teknik Industri, Statistika, Administrasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=695d1387-eef7-48a0-a8ee-261620e4bbe2"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Fungsi S&D Jatimbalinus","PT Pertamina","Kota Surabaya","Oil & Energy","Energy","S1","Teknik Industri, Teknik Elektronika, Teknik Mesin, Teknik Sipil, Teknik Informatika, Teknik Kimia, Teknik Fisika, Teknik Material, Teknik Metallurgy","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d414dd5a-298c-4742-8315-2c5b6761d3cf"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - RU II Dumai","PT Pertamina","Kota Dumai","Oil & Energy","Energy","S1","Manajemen, Teknik Industri, Hukum, Psikologi, Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a44a54d0-6de1-4fa3-999e-2f6b758b9f81"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Claim & Post Fixture I","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Sarjana Teknik, Sarjana Sains","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2f934dd0-4853-4ac4-b631-305943a3eb1b"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Financial Controller (Financial Policy & Internal Control)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Akuntansi, Ilmu Manajemen, Ilmu Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e5e09dda-0ac5-48f5-8f5a-313aa0afb529"
