Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Learning Delivery)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Psikologi, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3a712e94-47e3-4ed7-ba05-9bc43a678291"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Risk Culture & Performance)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Desain Komunikasi Visual","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4132e0d8-8615-49d5-b5c3-9d678e306421"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Operational Excellence)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","D4/S1","Electro, Instrumentasi, Mekatronika, Maintenance Engineering","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e05b0cb9-5d0d-4d56-a079-9c696a3eb7e4"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Health Policy Standard & RM)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Kesehatan Masyarakat","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5c83dd84-a562-4cba-a649-99ac4997cdce"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Keuangan (Investor Relations Strategy & Advisory)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Manajemen, Hubungan Internasional","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b17f044d-2b5e-4d2a-9701-99a2e13676cd"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Talent Strategy)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Psikologi, Desain Komunikasi Visual, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=894d0d69-cb1e-4330-87aa-99cfb70c0d01"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (PMO Downstream)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Teknik Sipil, Teknik Mesin, Teknik Elektro, Teknik Kimia, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=adbb7350-0923-477a-a71e-94c109fcd6d0"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Upstream & Gas Risk Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Teknik Mesin","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e171a28d-228f-4bfc-ac3c-94e32820c829"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SPPU (Business Development International Market)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Perminyakan, Bisnis, Bisnis Internasional, Hubungan Internasional","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=648189a7-6a3e-41f8-bc8f-94fa3fde468a"
