Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Internal Audit (Investigation IA & WBS)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Desain Multimedia, Desain Grafis, Desain Komunikasi Visual, Ilmu Komputer, Ilmu Komunikasi, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=915d5c54-3d84-4ef8-aa45-e0c9d8928a94"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Corporate Secretary (BOD Office)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Komunikasi, Manajemen, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8b0c09fa-2579-4153-987c-d48f0654daa6"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Pertamina Digital Hub (Exception Management)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Informatika, Ilmu Komputer, Sistem Informasi, Teknik Elektro (fokus di program studi Pemrograman IT), Arsitektur, Sosiologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=7a1cabab-324f-4ad3-bbf7-dd1c60ede0ef"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Legal Counsel (Legal Planning & Data Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8ad34031-94b2-4516-aa4d-d92694c89723"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Fuel Supply Logistics Optimization)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=60395cf5-f482-4f20-902d-dad4e14c2c4a"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Performance & Competency Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Statistika, Manajemen, Desain Komunikasi Visual","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9e6dc3cb-1fe0-4e16-a9eb-d6738ff1059a"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Internal Audit (Digital Forensic & Surveillance)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Informatika, Data Sains, Sistem dan Teknologi Informasi, Ilmu Komputer","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4aa6619e-f50e-4456-b0b1-d67f393af390"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Asset Optimization)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Geodesi, Geomatika, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ee7d659e-cdce-44bb-b7f1-d3a353b358be"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Program - Safety)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=94a4ab67-de4a-4306-8780-d473d96761fa"
