Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal Counsel Regional JBB","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4065b32c-e9af-453f-ad47-9992392ece41"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Facilities Management","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Sipil","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3434cf66-d87f-41f4-8019-9e7df9143cbc"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - IT Regional Papua-Maluku","PT Pertamina","Kota Jayapura","Oil & Energy","Energy","S1","Teknik Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer dan Jaringan (TKJ), Teknik Elektro","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=72c8be12-0070-43a9-9292-9b918e5ab67f"
"INTERNSHIP 2026 - PT Perta Arun Gas - Fungsi Human Resources Development (Human Capital Business Process)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Semua jurusan Teknik, Statistik, Manajemen , Manajemen SDM, Ilmu Komunikasi, Hukum (Hubungan Industrial), Kedokteran","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b85394ae-250d-4bab-85c4-a1e25aa3e633"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Asst.Manager Health","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Kesehatan Keselamatan Kerja, Keperawatan, Kedokteran, Gizi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=55e61135-a671-495b-863b-a1807d96c276"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Retail Sales Sumbagsel","PT Pertamina","Kota Palembang","Oil & Energy","Energy","S1","Semua Jurusan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=712c01fb-2d29-4852-8d94-a4ea8195c3af"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Product Domestic II Shipping Operation","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Perkapalan, Teknik Kelautan, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8f198e02-956c-45f2-a1d4-a6e857f3f251"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Project Control and Cost Management","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","Minimal D3","Akuntansi, Manajemen Keuangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=66fbe861-d56c-4d2d-b014-9d6fc2634f81"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal Counsel Project Support","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=cdf61f4f-3e4a-40fc-a4c7-ac1606b11fe0"
