Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Asst. Manager safety & Environment (Stream Environment)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","K3U, Kesehatan Masyarakat, Teknik Lingkungan, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=db990f2d-fc45-487e-a1b2-c98437f04ff2"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Fleet Operation Risk","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=bb9d6061-8ee4-4790-aa95-c8b58b013086"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Operation (Sales)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4097534c-2cfe-47ec-a694-c95e7f194a41"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HC Sumbagsel","PT Pertamina","Kota Palembang","Oil & Energy","Energy","S1","Psikologi, Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=88d08bc5-b979-45b2-9bee-cfbd0843245f"
"INTERNSHIP 2026 - PT Gagas Energi Indonesia - Fungsi IT Infrastructure and Network Management","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Industri, Teknik Informatika, Sistem Informasi, Ilmu Komputer, Software Engineering, Manajemen, Teknik Komputer, Sistem, Sistem Informasi, Teknologi Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=435a6436-fda4-4c03-a312-d021d749ec83"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Talent Acquisition & Learning","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Psikologi, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a81b6566-3e01-4ae1-a472-d07caebabbe1"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Financing","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi Manajemen, Accounting","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=476d700c-f8a2-4681-ac94-d1782c1759a9"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Infrastructure Management (Asset Reliability & Integrity)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Metalurgi & Material, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c8463351-f26c-410d-af09-d38aacfefd9e"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Aviation Quality Assurance","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=12534e3e-06eb-474f-92d9-d4e5f4cd5263"
