Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Rel. & Project Dev. Sumbagut (EE)","PT Pertamina","Kota Medan","Oil & Energy","Energy","S1","Teknik Elektro (Arus Kuat)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f8ca1226-41c5-4e88-8cf3-680f1b02c3c0"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Sales Administration & Contract","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Teknik Kimia, Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=10eb9753-b7f0-4caf-866f-688a43f54dd9"
"INTERNSHIP 2026 - PT Perta Arun Gas - Fungsi Finance (Tax)","PT Pertamina","Kota Lhokseumawe","Oil & Energy","Energy","S1","Akuntansi, Manajemen Keuangan, Aktuaria","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d07ef5dd-32b4-4a12-824f-02f173201024"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Corporate Planning, Performance & Gov.","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia, Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1f8bf032-487c-4c05-88a1-0343f8fb864a"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Procurement","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Hukum, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=96822c1e-1f8f-4aea-b8de-0351ef46e4b5"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Corporate Secretary (Communication Relations)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Komunikasi, Desain Komunikasi Visual, Jurnalistik, Kehumasan, Public Relation, Advertising, Marketing Communication","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f7c739ad-be11-4803-83e9-04b6cf7821c9"
"INTERNSHIP 2026 - PT Perta Arun Gas - Fungsi Business Planning & Portfolio (Risk)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Semua Jurusan Teknik, Ekonomi, Manajemen Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=72501206-6f67-4474-9b47-0737b6931f20"
"INTERNSHIP 2026 - PT Gagas Energi Indonesia - Fungsi Treasury","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Industri, Akuntansi, Manajemen, Ekonomi, Administrasi, Administrasi Bisnis, Keuangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=97c13255-0013-4bf4-9ab7-08474ffb3667"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Operation (Asset Management)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","Minimal D3","Akuntansi, Manajemen, Manajemen Keuangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3477b2d6-9dbb-46ad-b140-095b0edd262f"
