Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Finance (Billing & Invoice)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Akuntansi, Komunikasi, Ekonomi, Hukum, Komputer/IT","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=348908bb-adb4-49c7-ba79-b8125bc64b43"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Asset Business Initiatives)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Sipil, Planologi, Teknik Arsitektur, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e7de3be5-fba5-44f8-826e-ac66cce55209"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Portfolio & New Business - Safety)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja (K3), Teknik Mesin, Teknik Industri, Teknik Sipil, Teknik Elektro","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=03d223fb-7d1c-4401-981c-ac6c8401cb2c"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Procurement (Category Management I, II, III)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Sistem Informatika, Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e5443025-8b41-445e-993e-acdfdf090012"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Procurement (Logistic)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Sistem Informatika, Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0991dd79-0439-4f1f-8311-ad3abf80d1f6"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Knowledge & HC Research Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","D4/S1","Teknik Grafika & Penerbitan, Desain Komunikasi Visual, Teknik Industri, Teknik Informatika, Sistem Komputer","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9e03b5d1-2d37-4f3b-8edf-b9308663feed"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services (SS Procurement)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Akuntansi, IT, Design Grafis, Design Komunikasi Visual (DKV)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=691b4c1c-6b38-4e6a-a812-ba34917c4610"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (PNRE & Portfolio Co Risk Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e781fd16-a7ec-4f7d-aa4f-bb9da432bdc7"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Sustainability Business)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Bisnis Management, Teknik Kimia, Teknik Industri, Teknik Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e9314384-3c6f-4850-84b4-bc955969a219"
