Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Patra Jasa - Multi Services Management","PT Pertamina","Kota Administrasi Jakarta Selatan","-","Tidak tertera","S1","Akuntansi, Keuangan, Manajemen, Manajemen Keuangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2e64ff39-f4a8-4956-a90f-3dbc3dddcb22"
"INTERNSHIP 2026 - PT Pertamina Power Indonesia - Fungsi Corporate Secretary","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","Tidak tertera","Ilmu Komunikasi, Komunikasi, Hubungan Internasional, Public Relation, Desain Komunikasi Visual","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=36380c54-6da5-4463-9db5-49e738271cf6"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Laboratory","PT Pertamina","Tidak tertera","Tidak tertera","Tidak tertera","Tidak tertera","Teknik Geologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=7cca185b-366f-401f-beab-4e00e33c1ce2"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Operation Area Karaha","PT Pertamina","Kota Tasikmalaya","Oil & Energy","Energy","Tidak tertera","Teknik Mesin","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0736db76-40fe-4942-af8b-62a0d68bde04"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Business Support Area Lumut Balai","PT Pertamina","Tidak tertera","Tidak tertera","Tidak tertera","Tidak tertera","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=04cd2b63-439d-4281-a38d-61ad3e913265"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Business Support Area Ulubelu","PT Pertamina","Tidak tertera","Tidak tertera","Tidak tertera","Tidak tertera","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=54f7b394-9e3e-433d-b9a3-68f1c5b2fb59"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Government & Public Relations Area Ulubelu","PT Pertamina","Tidak tertera","Tidak tertera","Tidak tertera","Tidak tertera","Komunikasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=54d13f7a-d061-43d4-8530-038f37bb5b13"
"INTERNSHIP 2026 - PT Pertamina Training and Consulting - IT Network","PT Pertamina","Kota Administrasi Jakarta Pusat","-","Tidak tertera","S1","Information Technology, Information System, System Computer","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c892ce3d-8181-4a35-86a3-0182c5c59f30"
"INTERNSHIP 2026 - PT Pertamina Power Indonesia - Fungsi SPA & Marketing","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","Tidak tertera","Ekonomi, Manajemen, Seluruh Teknik","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5444c610-1191-423d-8a2f-0c1281aa6016"
