Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Patra Jasa - Strategi Korporasi","PT Pertamina","Kota Administrasi Jakarta Selatan","-","Tidak tertera","S1","Manajemen, Administrasi Bisnis, Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ad6d7eda-dd7e-4e5e-8c45-ea680dd32a7d"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Legal & Compliance","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","Tidak tertera","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=778b790d-ae9d-475a-a981-f744c0181ade"
"INTERNSHIP 2026 - PT Pertamina International Shipping - Fungsi HSSE (Shipping Safety Assurance & Crisis Management Planning)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Science, Teknik, Matematika, Data Science, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=7b4b2946-81ec-4b64-ab51-ef1bebf6b631"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi HSSE Area Lumut Balai","PT Pertamina","Tidak tertera","Tidak tertera","Tidak tertera","Tidak tertera","Teknik Mesin, Teknik Industri, Teknik Kimia, Teknik Elektro, Teknik Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=fb0e179f-10c9-41fa-b325-f939cfc0b07b"
"INTERNSHIP 2026 - PT Pertamina Training and Consulting - IT Governance","PT Pertamina","Kota Administrasi Jakarta Pusat","-","Tidak tertera","S1","Information Technology, Information Systems, System Computer","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b594a922-af3e-44a9-8278-ef780c5cef3f"
"INTERNSHIP 2026 - PT Pertamina International Shipping - Fungsi HSSE (Health)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Keperawatan, Kesehatan Masyarakat, Kedokteran, Administrasi Rumah Sakit, Kesehatan Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d19377a9-1496-4669-9a8f-e21e1cf37ea0"
"INTERNSHIP 2026 - PT Pertamina International Shipping - Fungsi Controller (Financial Report)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Akuntansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9edc9cb0-522c-47e4-adae-c59a631dc334"
"INTERNSHIP 2026 - PT Pertamina International Shipping - Fungsi Digitalization & Business Transformation (Digitalization & Innovation)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Sistem Informasi, Teknologi Informasi, Informatika, Manajemen, Bisnis Digital","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3840a7f5-81d0-4460-bee0-ab7b8fe7a0ed"
"INTERNSHIP 2026 - PT Pertamina Trans Kontinental - Fungsi Marketing Support Marine & Logistics","PT Pertamina","Kota Administrasi Jakarta Utara","Oil & Energy","Energy","S1","Manajemen Pemasaran, Manajemen, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b0dfd21a-d7a1-435f-afaf-9da9eca73387"
