Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi HSSE","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Sosial, Sosiologi, Kesejahteraan Sosial, Pembangunan Sosial dan Kesejahteraan (PSDK)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=bfbb0e49-2ff8-4218-b047-3ba61772e889","1","239"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Petrochemical & Bitumen Sales","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Teknik Kimia, Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f1a6db97-d0aa-43bb-af96-3e32c3b8450f","1","101"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Fungsi Perf. Gov. & Data Mgmt","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ceae9475-eadf-4581-a70d-4a5993ea7a67","1","161"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HCBP I","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Psikologi, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0f067ea9-81eb-44b9-9125-4f8a7e6fcaa7","2","166"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Financial Controller (Accounting & Reporting)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Akuntansi, Ilmu Manajemen, Ilmu Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=24244376-bc8d-401d-850f-53bb11299415","1","201"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Promotion, Dealership, & Business Support","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia, Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=13fe3851-c9dd-4d82-8622-55b26f234155","1","150"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Operational Risk Kalimantan","PT Pertamina","Kota Balikpapan","Oil & Energy","Energy","S1","Manajemen, Teknik Industri, Psikologi, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f7df0725-12fd-4a49-b260-5591c0e9a231","1","229"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Supply & Distribution Regional Sulawesi","PT Pertamina","Kota Makassar","Oil & Energy","Energy","S1","Teknik","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3c8b154e-a0dd-4d6c-94dc-57d340f17b39","2","390"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Sustainability Strategy & Program","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Lingkungan, Ilmu Lingkungan, Manajemen Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=6f067c63-5418-4c51-929a-583eee7c400f","1","232"
