Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Enterprise IT (IT Strategy & Planning)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=396ade18-ae0c-4b35-883e-21e23fe8e4c0","1","22"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Human Capital Business Partner III)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=02a1bff3-ea5f-446c-b707-22ee81ece20a","3","22"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (HC Planning & Evaluation)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=377a7cf4-f856-4de4-acbd-2348780a7733","2","30"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Corporate Secretary (Board Governance, Policy & Corporate Administration)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d0757d58-698d-4df4-9af9-23f763e8feb4","1","51"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Portfolio & New Business - Project & New Business)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Lingkungan, Teknik Elektro, Teknik Industri, Teknik Mesin, Teknik Kimia, Teknik Sipil, Teknik Geologi, Teknik Geofisika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b771eca6-461c-46fa-aa18-250aa3e9d97a","1","32"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Center of Excellence - Health)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Keselamatan dan Kesehatan Kerja (K3), Kesehatan Masyarakat, Epidemiologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=01d83368-22be-4d75-9df7-12ef6701966f","1","35"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services HC (Workforce Services)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e189caea-572b-442b-8ca9-13927f5e9dc6","2","16"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Procurement (Procurement Governance & Sustainability)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e7c2beb5-19c3-4e85-bd65-15b2d8bcf99e","2","39"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Process Dev. Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Kimia, Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0ac750ac-6033-4745-a1d5-1145264e418a","1","41"
