Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Account Service Sales","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia, Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c9e3403e-7789-4702-ac60-596385704731","1","86"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Marketing & Commercial Product","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik, Management, Bisnis, Marketing","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=37103a54-6de5-41ce-a272-5c29760ecad0","1","273"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal Counsel Lit. General Crime","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4a4e774d-ee3c-460b-8e61-5a5c8a37810f","1","251"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - S&D JBB","PT Pertamina","Tidak tertera","Tidak tertera","Energy","S1","Teknik Lingkungan, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=235277a3-b60e-487f-b5ba-5b02388f8be1","1","59"
"INTERNSHIP 2026 - PT Perta Arun Gas - Fungsi Technical (Technical & Service)","PT Pertamina","Kota Lhokseumawe","Oil & Energy","Energy","S1","Semua Jurusan Teknik","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=398e7c45-1b8b-41df-9c59-5a89c455e16a","2","272"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Manager LPSQ/DPA","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","K3U, Kesehatan Masyarakat, Teknik Lingkungan, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d2aa00d0-4874-46de-8631-5c41586edc1f","1","57"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HC Sulawesi","PT Pertamina","Kota Makassar","Oil & Energy","Energy","S1","Desain Grafis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d1cc7356-d83b-4523-97c4-5dd173abacac","1","128"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal Counsel","PT Pertamina","Tidak tertera","Tidak tertera","Energy","S1","Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f6b39847-81d7-43ba-a537-65d5caed1433","1","118"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Operational Risk JBB","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Manajemen Resiko","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5575e7e2-e222-49c4-9f38-6709b29659c0","1","72"
