Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SPPU (Investment Review, Investment Policy, Planning, Monitoring)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Perminyakan, Teknik Industri, Teknik Kimia, Ekonomi, Manajemen, Akuntansi, Keuangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1838d61f-bb8b-43f8-834c-ec5fb3477ddb","1","21"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Industrial Relation Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=51262dcb-5a2f-4e12-88fa-f527be7a5a22","2","51"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Change Management)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Desain Grafis, Desain Komunikasi Visual, Psikologi, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4abcf798-9428-4cea-936e-ed030a70b2b6","4","64"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Policy & Business Process Alignment)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Hukum, Hukum Administrasi Negara, Hukum Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=6b56651d-08e5-49fe-abe1-ec6add275a03","1","18"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Enterprise Culture & Engagement)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Ilmu Komunikasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=075ac6c4-d5f3-41e6-a19d-eeb13d9d940e","3","62"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Human Capital Business Partner I)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e7ca7e65-80fd-412b-af63-e7e8f0b35bdf","1","29"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Infrastucture Synergy & Optimization)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Lingkungan, Teknik Elektro, Teknik Industri, Teknik Mesin, Teknik Kimia, Teknik Fisika, Teknik Sipil, Teknik Geologi, Teknik Geofisika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=110b7d0d-2f42-4b4b-a0d3-ebdf50fbd91d","2","74"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Asset Project Management Office)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Ekonomi, Statistika, Teknik, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3a3de67c-3358-49b5-bed5-e98b08912b46","1","45"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SPPU (SJV Management I & II)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik, Ekonomi, Manajemen Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=20e2f4c7-32d3-4ca7-8e3a-c1dfd8ae1e9d","1","32"
