Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Human Capital","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Manajemen, Psikologi, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3e380e4d-bc62-4cf0-951c-4714a187f7b6","1","630"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Aviasi","PT Pertamina","Tidak tertera","Tidak tertera","Energy","S1","Management / Administrasi Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=be401d13-65ad-4139-96c0-436e3c4500ba","1","161"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk (Fungsi Project Development)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","Tidak tertera","Teknik","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e99ca643-eee7-4568-b261-48b9ff5a7c01","1","478"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Financial Controller","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Akuntansi, Ilmu Manajemen, Ilmu Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c1b5ff05-59a5-42dc-854c-4c47f7c42b34","1","406"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Intercompany Sales","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Teknik Kimia, Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=7abf68ca-7f78-4e09-ac18-46eb3e05b03a","1","219"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi HC Policy & BP","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Sistem Informatika, Psikologi, Hukum, Bisnis Administrasi, Statistika, Manajemen, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d6904977-1f29-4786-b229-345ef9f6b82b","2","376"
"INTERNSHIP 2026 - PT Gagas Energi Indonesia - Fungsi IT Development","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Industri, Teknik Informatika, Sistem Informasi, Ilmu Komputer, Software Engineering, Manajemen, Teknik Komputer, Sistem, Sistem Informasi, Teknologi Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4ae7e45d-06c7-4c70-8ae5-3480d29a2552","1","716"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Claim & Post Fixture II","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3eb7641d-398a-484e-b729-376ac2dfb5b9","1","71"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Risk RJBT","PT Pertamina","Kota Semarang","Oil & Energy","Energy","S1","Statistik, Management, Risk Management, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f1f3d324-81b6-42b6-a750-33d1d88a2652","1","149"
