Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SPPU (Performance Mgt. System and Performance Eval. & Monitoring)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Ekonomi, Manajemen Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=44b81f53-6493-4f5e-8301-d37d7c72e63d","1","22"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Employee Services)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ce30a67c-6233-4554-89d4-cab5f554ecce","2","33"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Legal Counsel (Compliance & Ethics)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4bad5f60-7d2e-4adc-8585-cb93f0058a50","1","46"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Enterprise IT (Cyber Security Risk Audit & Control)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Artificial Intelligence, Business Anaytics, Business information system, Business Information Technology, Information System Audit, Sistem dan Teknologi Informasi, Sistem Informasi Akutansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1b08843b-fe34-4217-b2db-cd4ac87a0a9f","1","35"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Business Optimization)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Bisnis, Manajemen, Legal, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=28f5d8eb-3e8c-46e3-8bf3-ccf84d05dadf","2","39"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Organization Development)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Psikologi, Statistika, Manajemen Rekayasa Industri, Manajemen Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=45888249-7297-4b79-aa4a-c397724e484c","3","51"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Corporate Secretary (Internal Communication)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Komunikasi, Desain Komunikasi Visual","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1ad6b1f9-8a87-4d10-960e-b3627a6bcb6e","2","129"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Keuangan (Financial Reporting)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Akuntansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3cd7090b-5094-4d8d-a297-b5956a83ee0b","1","48"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Technology & Asset Integrity Risk)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=32d3ba58-034e-43fb-8ee2-b744a63703f6","1","11"
