Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - NBD Investment Assurance","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Kimia, Teknik Industri, Teknik Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1b8633c9-6ce2-4730-8feb-095c03f6d5cd","1","122"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal Counsel Lit. Special Crime","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=30c16260-311c-4e59-804f-0dc8d0ec75ce","1","584"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HSSE RJBT","PT Pertamina","Kota Semarang","Oil & Energy","Energy","S1","Keselamatan dan Kesehatan Kerja (K3)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=93b2e6a4-af3a-4532-bc0c-0e96576b89f8","1","265"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Operation (Fleet Management)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","Minimal D3","Akuntansi, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=703357cf-194d-4c1f-be8b-102c2b4ebabf","1","245"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HC Kalimantan","PT Pertamina","Kota Balikpapan","Oil & Energy","Energy","S1","Ilmu Komunikasi, Manajemen, Psikologi, DKV, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a6b43dc6-68f5-4199-b98d-0e442e2c3747","1","324"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Corporate Sales Jatimbalinus","PT Pertamina","Kota Surabaya","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Industri, Statistika, Teknik Kimia, Manajemen Pemasaran, Manajemen Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=fa2016a9-8e6c-4a44-ad1c-1192b6d739e4","1","237"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HSSE Sumbagut (Security)","PT Pertamina","Kota Medan","Oil & Energy","Energy","S1","Kriminologi, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ee4dc873-656b-4892-8129-120efe3226cb","1","108"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Manager Onshore & Offshore Project II","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Teknik Perkapalan, Teknik Sistem Perkapalan, Teknik Mesin","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=de5489c3-fb72-465c-a035-129a0933bbf2","1","160"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Retail Perfomance Management","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Manajemen, Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=77955a8f-b967-454c-b28f-142de31b9af6","2","406"
