Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Training and Consulting - HC Development","PT Pertamina","Kota Administrasi Jakarta Pusat","-","-","S1","Psikologi, Manajemen SDM","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3ae9361b-3215-42a4-b2a3-10436a5b4611","1","74"
"INTERNSHIP 2026 - PT Nusantara Regas - Fungsi Risk Implementation","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Kelautan, Teknik Perkapalan, Teknik Sipil, Teknik Mesin, Teknik Industri, Teknik Fisika, Teknik Kimia, Teknik Metalurgi, Manajemen Keuangan, Akuntansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=19dc24fd-e07c-44e9-9175-1618c94afd1f","1","33"
"INTERNSHIP 2026 - PT Patra Jasa - Property Management","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Akuntansi, Perpajakan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=07171573-7625-412a-928d-2933e860b298","1","19"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Legal & Compliance","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Ilmu Hukum, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f52b251f-33fb-47d1-add1-271180ef4515","1","71"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Pemberdayaan Masyarakat (PFsains)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","D4/S1","Teknik Elektro, Teknik Energi, Teknik Lingkungan, Teknik Industri, Fisika, Matematika, Statistika, Data Science","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=20909665-6907-4414-a30a-29ddfe7d5898","1","50"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Operation Area Ulubelu","PT Pertamina","Tidak tertera","Tidak tertera","Energy","Tidak tertera","Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e671ba89-8b2e-4dab-956f-2e3a69809117","1","14"
"INTERNSHIP 2026 - PT Pertamina Training and Consulting - HC Management","PT Pertamina","Kota Administrasi Jakarta Pusat","-","-","S1","Hukum, Administrasi Hukum, Manajemen SDM","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2fe06530-d073-4fa2-8ee1-3387484e3848","2","77"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Maintenance Area Lahendong","PT Pertamina","Kota Tomohon","Oil & Energy","Energy","Tidak tertera","Teknik Listrik/Teknik Elektro","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c88b41b3-4da9-4140-82b8-77f16fe109f9","1","33"
"INTERNSHIP 2026 - PT Patra Jasa - Human Capital (HC Strategy & People Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Teknologi Informasi, Manajemen Sumber Daya Manusia, Teknik Industri, Psikologi, Jurusan lain yang relevan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b94b01b5-0508-495b-9242-79298e869e9a","1","47"
