Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Enterprise IT (Cyber Security Strategy & Planning)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Teknik Elektro, Teknik Telekomunikasi, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=868b552a-91f8-4ed4-8a5b-5df6f19482f0","2","42"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Keuangan (Financial Planning & Performance PNRE)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Manajemen Keuangan, Akuntansi, Teknik Industri, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ae5a957e-dc4d-4e54-84d8-615c240c2e58","1","34"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Portfolio & New Business - Health)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","D4/S1","Kesehatan Masyarakat","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=dbfae0b1-347c-4253-946a-62257c6815d9","1","53"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Drilling & Eksplorasi)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Geologi, Geofisika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=41b2e432-abeb-49a9-b1dc-595276a04afe","2","70"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Finance (Invoice Payment Upstream & Holding)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","D4/S1","Akuntansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=43185e82-b106-4d34-b687-5bdbb112aa96","2","46"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Project (PMO)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Akuntansi, IT, Design Grafis, Design Komunikasi Visual (DKV)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5698e51d-e759-40d7-b1d6-57cfdc2675aa","2","21"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (CCUS Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Kimia, Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1ddba89b-f08f-40b6-971e-55a4a98b07a0","1","22"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Assurance & Investigation)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Kesehatan Lingkungan, Keselamatan dan Kesehatan Kerja (K3)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d0fcce29-8fec-4fa4-95cd-558d513173fb","1","38"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Project (BPD Finance)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Akuntansi, Manajemen, Ilmu Ekonomi, Ekonomi Pembangunan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=327f76b1-4007-42a8-a4f6-4a85b0412253","2","30"
