Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Aviation Domestic Sales","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Ilmu Sosial","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8daec2a8-01d8-483b-b8e2-32bc02657bf1","1","166"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Distribution Reliability & Engineering Jatimbalinus","PT Pertamina","Kota Surabaya","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=493a1ae1-8863-4485-9404-322ef4f6e369","1","179"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Financial Risk & Insurances","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Akuntansi, Ekonomi, Manajemen, Statistika, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b6254c5c-64dd-4d19-a3dd-32f070adf7fd","2","126"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Terminal & Channel Operation Risk","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=57e39cd3-03fe-4b24-a5a8-6b2cb79c4ad8","1","35"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HC RJBT","PT Pertamina","Kota Semarang","Oil & Energy","Energy","S1","Teknik Industri, Statistika, Administrasi, Manajemen, Multimedia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=617427d7-1c25-4be0-ae26-6ba8417756c0","1","118"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Fungsi Legal Counsel Business Dev. & Strategic Partnership","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=cea866a5-addb-420a-89c8-6ffca9b81e71","1","130"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Sustainability Business Acceleration","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Manajemen/Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9473e7d3-6db6-4e7f-83e9-714e57a81588","1","56"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - RU VI Balongan","PT Pertamina","Tidak tertera","Tidak tertera","Energy","S1","Manajemen, Teknik Industri, Hukum, Psikologi, Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3af4135f-697f-4305-b1e9-72c4ee6de27c","1","137"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Rel. & Project Dev. Sumbagut (CA)","PT Pertamina","Kota Medan","Oil & Energy","Energy","S1","Teknik Elektro (Instrumentasi Digital)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=848025dc-95d0-490e-9178-72f27d7b4e97","1","51"
