Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HSSE JBB","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Kimia, Keselamatan dan Kesehatan Kerja (K3), Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=cbbf1e32-e19a-426f-ba52-adf82e2f6637","1","77"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - RU III Plaju","PT Pertamina","Kota Palembang","Oil & Energy","Energy","S1","Manajemen, Teknik Industri, Hukum, Psikologi, Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a18077c7-6d08-4bca-a0ac-ae0cd83b4e94","1","143"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Corporate Secretary (CSR)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Sosial, Sosiologi, Kesejahteraan Sosial, Pembangunan Sosial dan Kesejahteraan (PSDK)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=226da30c-f5f8-4b2b-bbdf-afc8e4603f8c","1","189"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - IT Kalimantan","PT Pertamina","Kota Balikpapan","Oil & Energy","Energy","S1","Teknik Informatika, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1cea8281-3244-4576-b083-b32a26d96532","1","94"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Performance & Facility Development","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=19ca516c-ad3c-4d8a-9ade-b2e9f00aa02c","1","46"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Sr Manager R&P Dumai","PT Pertamina","Kota Dumai","Oil & Energy","Energy","D3","Admitrasi Perkantoran/ Keskatriatan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=6c3bac13-6dc1-49b1-a7cb-c1f27605fcbb","1","174"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Investment Policy Planning & Evaluation","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Kimia, Teknik Industri, Ilmu Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=877e7988-9e65-4b3d-b205-c38783e6e3c9","1","31"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Operation Facility and Waste Management","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Teknik Kimia, Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=88dd38f9-979e-4ed5-8f19-c5559029552f","1","51"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal Counsel Regional Sumbagut","PT Pertamina","Kota Medan","Oil & Energy","Energy","S1","Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a95566cf-cea6-469d-b17c-c6e978bff6b5","1","76"
