Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Human Capital & Business Support (Information Technology)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Informatics, Informatika, Sistem Informatika, Teknik Informatika, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=37bda3a8-bd8f-4a43-a131-af2d735cb10b","1","49"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Maintenance Area Lumut Balai","PT Pertamina","Tidak tertera","Tidak tertera","Energy","Tidak tertera","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f2ebd7c2-fee3-4619-9d25-b2db1a7622c0","1","16"
"INTERNSHIP 2026 - PT Patra Jasa - Corporate Finance & Risk Management","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Akuntansi, Manajemen Keuangan, Administrasi Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=309551a2-1500-4eae-bc72-b31f21547e72","1","48"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Operation Area Kamojang","PT Pertamina","Tidak tertera","Tidak tertera","Energy","Tidak tertera","Teknik Informatika, Ilmu Komputer, Sains Data, Teknologi Sains Data, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a1e3fd23-09a9-454e-ac65-d968034ed2b7","1","25"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Maintenance Area Kamojang","PT Pertamina","Tidak tertera","Tidak tertera","Energy","Tidak tertera","Teknik Sipil","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f80d9674-aeb0-40e1-9ebb-ccffba59cffb","1","55"
"INTERNSHIP 2026 - PT Nusantara Regas - Fungsi Strategic Planning & Business Development","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Manajemen, Manajemen Bisnis, Teknik Industri, Teknik Kimia, Teknik Kelautan, Teknik Perkapalan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5c2908f2-4866-42d9-a850-db1f64435892","1","41"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Pemberdayaan Masyarakat (PFmuda)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","D4/S1","Manajemen, Administrasi Bisnis, Ilmu Komunikasi, Hubungan Internasional, Psikologi, Sosiologi, Ilmu Pemerintahan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=67e61fa6-d8bf-4232-8da6-e03c020961a0","1","166"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi HSSE Area Kamojang","PT Pertamina","Tidak tertera","Tidak tertera","Energy","Tidak tertera","Keselamatan dan Kesehatan Kerja, Teknik Lingkungan, Teknik Industri, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=16bbe6ae-cf14-406c-b136-e0a11150816b","1","62"
"INTERNSHIP 2026 - PT Nusantara Regas - Fungsi Operation","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Elektro, Teknik Tenaga Listrik, Teknik Fisika, Teknik Kimia, Teknik Mesin, Teknik Sipil, Teknik Kelautan, Teknik Perkapalan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c4073f8e-13ef-499f-8e94-e621b95d8d0c","1","79"
