Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Commercial Capacity & Asset","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Statistika, Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=05f79536-5c54-4adb-9207-e86e1e4d1c80","1","26"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - NFR Management","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","D3","All","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=7cf09ae6-0e96-478f-9467-e937e0c71bc5","2","487"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HSSE Sumbagut","PT Pertamina","Kota Medan","Oil & Energy","Energy","S1","K3, Kesehatan Masyarakat","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ffaa4fd9-c081-484f-9877-ea17c7279c8d","1","72"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Excess Refinery Product Sales","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Teknik Kimia, Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=caa8bec0-e017-4baa-b2ba-f06fc5273966","1","29"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Maritime Planning, Performance & Development","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Sistem Perkapalan, Teknik Perkapalan, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=228415f2-031a-40f1-ac95-ebe70cf2a6d2","1","17"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal RJBT","PT Pertamina","Kota Semarang","Oil & Energy","Energy","S1","Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5d9d7fa3-ebc8-43ba-8281-f0f3fa2c3c4c","1","69"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - IA Region V","PT Pertamina","Kota Surabaya","Oil & Energy","Energy","S1","Teknik Industri, Manajemen, Akuntansi, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=6978db3e-fc93-42a8-bc33-f17da38270d1","1","97"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HSSE Papua Maluku","PT Pertamina","Kota Jayapura","Oil & Energy","Energy","S1","K3, Kesehatan Masyarakat, Teknik Kimia, Teknik Sipil, Teknik Elektro, Teknik Mesin","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b336f91e-2347-4186-9e11-f4555300a101","2","76"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Area Manager Legal Counsel Jatimbalinus","PT Pertamina","Kota Surabaya","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d8e39016-3133-440b-b2dc-f97bf715a9fb","1","77"
