Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Strategy Management)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Ilmu Komunikasi, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a506ae75-7f15-4f4e-b70e-774b06398b32","2","21"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Local Content Upstream & Corporate)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Legal, Teknik Industri, Ekonomi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=dc632144-62fb-4bf1-b678-335be8f93022","1","14"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Stakeholder Advocacy)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Legal","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f1e484c5-edad-446a-952e-31ba025ecf74","1","16"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Supply Scheduling & Optimization)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Akturia, Statistik, Data Analyst","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c5d3a3b7-2989-48d5-a205-26e6f4c00490","1","15"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Integrated Quality Control)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Perminyakan, Teknologi Geologi Pertambangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9795d8de-97fd-47c3-bc7a-2fcf8b3af461","1","18"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (HC Integration System & Analytics)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Ilmu Komputer, Data Sains, Teknik Informatika, Sistem Informasi, AI/Machine Learning","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1c166f57-d822-4fe1-96c9-2805b6f2587f","1","19"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Certification & Formal Education)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Psiklogi, IT, Manajemen, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=afa27e0e-3b50-49b6-a84c-28dc65deb74e","2","31"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Manpower Planning & Recruitment)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Psikologi, Statistika, Manajemen, Desain Komunikasi Visual, Desain Grafis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=33ddf659-f138-4ab8-8128-2906986bd3fc","3","57"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Data & Archive Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Perpustakaan, Kearsipan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a7789ee4-b40f-4d4f-9beb-20f134a39ad7","1","70"
