Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - S&D JBT","PT Pertamina","Kota Semarang","Oil & Energy","Energy","D4","Teknik Kimia, Teknik Perminyakan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4134b81c-7347-4609-a42a-fc245df3bc64","1","19"
"INTERNSHIP 2026 - PT Perta Arun Gas - Fungsi Technical (Information Technology)","PT Pertamina","Kota Lhokseumawe","Oil & Energy","Energy","D4/S1","Teknik Informatika, Sistem Informasi, Ilmu Komputer, Teknologi Informasi, Rekayasa Perangkat Lunak, Teknik Komputer, Manajemen Informatika, Data Science / Sains Data, Cyber Security / Keamanan Siber, Jurusan lain yang relevan dengan pengembangan aplikasi dan teknologi informasi.","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0cf585be-61c2-47d9-b1c3-f792c6816984","2","66"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Material & Chemical Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Kimia, Kimia, Teknik Perminyakan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=00e37f95-6699-4960-83f4-fd9998dbcc68","1","53"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Internal Audit (Audit Rel, Supp. & Sys. Information)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Informatika, Data Sains, Sistem dan Teknologi Informasi, Ilmu Komputer","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=cced7186-2322-49ea-a973-ff879341568d","1","31"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Transformation Delivery Unit)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","D4/S1","Manajemen, Bisnis, Ekonomi, Statistika, Teknik Industri, Kebijakan Publik, Administrasi Bisnis, Data Sains, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=832697cb-bf74-4117-b1ab-f9c9a77f617c","1","30"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Bioenergy & Fuel Development Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Biologi, Kimia, Biokimia, Bioteknologi, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=920bc586-3140-44ea-aad7-f9e37f218855","1","78"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services HC (Talent Services)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f3e29a44-8978-4afd-a73d-fb1506b024dd","1","15"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Finance (Reporting and Data Analytics)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Akuntansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9cf39769-8cec-4180-81a0-fbebc977951d","1","24"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Production Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Kimia, Teknik Perminyakan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=005fec36-1a23-43ba-a3bc-f502aa34e237","2","52"
