Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Aviation JBB","PT Pertamina","Kota Tangerang","Oil & Energy","Energy","S1","Teknik Lingkungan, Keselamatan dan Kesehatan Kerja (K3)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=7018f26c-cdb3-45e9-bec7-7c19cceb8b65","1","23"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Legal Counsel Reg.Sumbagsel","PT Pertamina","Kota Palembang","Oil & Energy","Energy","S1","Ilmu Hukum, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3f54d106-0a29-4b6b-9897-74e7cec20da5","1","138"
"INTERNSHIP 2026 - PT Gagas Energi Indonesia - Fungsi Operation and Maintenance SOR II","PT Pertamina","Kota Surabaya","Oil & Energy","Energy","S1","Teknik Industri, Teknik Mesin, Teknik Elektro, Teknik Sipil, Teknik Instrumentasi, Teknik Kimia, Teknik Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0dc39a71-ecc4-4c49-8702-7c79bff934da","1","204"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Manager Health & Medical Services","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja (K3)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=41d318ac-3fb5-47bb-9a74-7a201e32f608","1","104"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Strategic Sales","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Teknik Kimia, Teknik Mesin, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4362ee5f-01f0-460b-ab89-7c1b1fb0bd64","1","59"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi Finance","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","Minimal D3","Akuntansi, Manajemen Keuangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=159eea2e-964d-442e-ab93-7e053d1ba9c9","1","170"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Aviation Operation","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Elektro, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2b869aec-fe8b-4a6f-9312-816a9c7a0be4","1","53"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HSSE Regional Sulawesi","PT Pertamina","Kota Makassar","Oil & Energy","Energy","S1","Teknik Kimia, K3","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b7168890-b068-43bb-ba81-8394a083ae4a","2","120"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - HSSE Sumbagsel","PT Pertamina","Kota Palembang","Oil & Energy","Energy","S1","Keselamatan dan Kesehatan Kerja (K3), Kesehatan Masyarakat, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=412c93d5-60c1-4155-b7ff-8562efe148b8","1","156"
