Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Asuransi Tugu Pratama Indonesia Tbk - Energy Claim","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Manajemen, Ekonomi, Teknik Sipil, Teknik Perminyakan, Asuransi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ef3659f2-dca0-446e-8a9f-766a6fbc178a","1","47"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Corporate Secretary","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Ilmu Komunikasi, International Relations, Ilmu Komunikasi, Jurnalistik, Desain Komunikasi Visual, Desain Komunikasi Visual (Animation)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c45c3ff9-90cd-429f-a137-74d64dd221f1","2","89"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi HSSE","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","Tidak tertera","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=da3ac77e-c626-4f29-b9a6-71d3410fb067","1","24"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Pendidikan Tinggi","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Psikologi, Management, Ekonomi, Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4f83f7b5-3a02-4dc1-9818-6c6bca5ce7f7","1","46"
"INTERNSHIP 2026 - PT Patra Jasa - Controller & Reporting (Tax Planning & Compliance)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Akutansi Pajak, Administrasi Fiskal, Administrasi Pajak","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e848b2bc-1a12-4f7e-8495-7f7a1d97fcaf","1","24"
"INTERNSHIP 2026 - PT Patra Jasa - Human Capital (HC Comben & Services)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Management, Psikologi, Jurusan relevan lainnya","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=3d8d4547-5a33-4618-be97-7f8ba71aac41","1","78"
"INTERNSHIP 2026 - PT Patra Jasa - Controller & Reporting (General Accounting & Verification)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Akuntansi, Manajemen Keuangan, Administrasi Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c1bebd57-61b6-4c1f-b228-83b97b66ad4f","1","65"
"INTERNSHIP 2026 - PT Pertamina Power Indonesia - Fungsi Legal Counsel & Compliance","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","Tidak tertera","Hukum, Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e847bd10-236d-48d8-9d81-8befcf1a6434","1","60"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Pemberdayaan Masyarakat (PFbangkit)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","D4/S1","Teknik Lingkungan, Teknik Energi, Teknik Sipil, Agribisnis, Kehutanan, Perikanan, Pembangunan Sosial dan Kesejahteraan, Sosiologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b6a758a6-357b-414a-a770-8637cb1a1f6d","1","136"
