Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Upstream Business Planning & Portfolio Mgmt (Upstream Performance)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=eda3f2c7-e6a6-4180-928c-26e111c4b860","1","37"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Information Technology (IT Planning Gov. & Security)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Komputer, Sistem Informasi, Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f2558bcb-87dd-4fb4-8377-145f46898fa8","1","130"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Corporate Secretary (Board Support & Planning)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Public Relations","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=d3c51f2c-9655-408c-899a-7c146768ea64","1","107"
"INTERNSHIP 2026 - PT Pertamina Internasional EP - Fungsi Business Support Human Capital","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen SDM","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=bfee8cbe-f815-4b00-b0b6-6eefd108c981","1","100"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Controller (Finance Policy & Assurance)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Akuntansi, Manajemen Keuangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=fbeb8e78-b84f-4716-96f6-732669a9ac5e","1","95"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Human Capital (Human Capital Services)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Psikologi, Sistem Informasi, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=eba05439-04a2-4fb0-a2af-a05df11b8382","2","211"
"INTERNSHIP 2026 - PT Pertamina Hulu Rokan - Fungsi HSSE (Safety)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Kimia, Jurusan lain dengan background Teknik dapat dipertimbangkan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=226fefc9-588a-4a64-b8fa-c112f2f7facb","1","215"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Drilling & Well Intervention (DWI Engineering)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Geologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b12dadbd-2658-4f07-a329-c7391fa60732","1","173"
"INTERNSHIP 2026 - PT Pertamina Hulu Energi - Fungsi Human Capital (Human Capital Strategic)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Psikologi, Manajemen, Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=81305624-fb9c-4a1b-9f17-b89ee99c8855","1","115"
