Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Project (Change Management Transition & Implementation)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Semua Jurusan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4bab2404-ec5a-49e8-8d2a-4da21de0d281","1","73"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Open Technology Commercial & Implementation)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Perminyakan, Teknik Geologi, Teknik Geofisika, Teknik Kimia, Teknik Metalurgi, Teknik Mesin, Teknik Elektro, Teknik Lingkungan, Teknik Sipil","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=975ef835-54b7-4c75-a6bf-4aa7788eb096","1","29"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Risk Strategy & Policy)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Manajemen, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=6161c6f6-5279-436e-aebc-3f627f669952","1","12"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Occupational Safety Policy, Standard & RM)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Keselamatan dan Kesehatan Kerja (K3)","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a4e74ce8-1644-4e69-a7aa-40d4b843d239","1","28"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Maritime Training Center)","PT Pertamina","Kota Administrasi Jakarta Timur","Oil & Energy","Energy","S1","Digital Marketing, Komunikasi Digital & Media","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=791631d9-f3d3-46cb-b7ed-435f46f3307e","1","19"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Project (BPD Procurement)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Sistem Informasi, Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ef7e19ec-0016-468c-8f83-2f5e0bf40b17","2","16"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Non Fuel Supply Logistics Optimization)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b798cfb2-1532-4354-a2c1-376f9a81717f","1","30"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Counterparty Risk)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=cc1f62bd-e01d-4c78-bc7d-39f1921b6b32","1","14"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Finance (Tax Accounting)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Ekonomi, Akuntansi, Manajemen, Perpajakan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=e1695a4d-68ee-4dce-a175-3b95870995b5","1","44"
