Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Patra Jasa - Asset Management & General Affairs","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Administrasi Perkantoran, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=5e391950-9909-49aa-8478-8830a158fb2d","1","86"
"INTERNSHIP 2026 - PT Pertamina Training and Consulting - Procurement","PT Pertamina","Kota Administrasi Jakarta Pusat","-","-","S1","Manajemen, Teknik Industri, Akuntansi, Administrasi Bisnis","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=53327fab-a9ff-4a1c-a022-8875d0e7f068","1","52"
"INTERNSHIP 2026 - PT Nusantara Regas - Fungsi Human Capital & Business Support","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Hukum, Psikologi, Manajemen SDM, Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ba370499-4266-4922-a6d8-911e86ce3aef","1","49"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Pemberdayaan Masyarakat (PFprestasi)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Semua Jurusan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a2f2ca7c-1f71-48f9-ad9d-9250d44fecf6","2","257"
"INTERNSHIP 2026 - PT Pertamina Training and Consulting - Corporate Communication","PT Pertamina","Kota Administrasi Jakarta Pusat","-","-","S1","Desain Komunikasi Visual","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=fd6f8f06-c305-4437-ae42-92c3575e3766","2","85"
"INTERNSHIP 2026 - PT Pertamina Training and Consulting - Manpower Supply Operation","PT Pertamina","Kota Administrasi Jakarta Pusat","-","-","S1","Administrasi Bisnis, Administrasi Perkantoran, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=62558c09-fb07-4512-af2b-97db4907f50a","1","46"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi HSSE Area Lahendong","PT Pertamina","Kota Tomohon","Oil & Energy","Energy","Tidak tertera","Ilmu Kesehatan Masyarakat","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9c3e3289-f6c3-4e57-8172-9621bfae49aa","1","37"
"INTERNSHIP 2026 - PT Pertamina Geothermal Energy Tbk - Fungsi Enterprise Risk Management","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","Tidak tertera","Teknik","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b0a9d52e-9e3c-4d21-bfdc-9fb6f1f6383a","1","43"
"INTERNSHIP 2026 - Pertamina Foundation - Fungsi Human Capital & Business Support (Human Capital)","PT Pertamina","Kota Administrasi Jakarta Selatan","-","-","S1","Psikologi, Teknik Industri, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=13e38499-22ba-47b6-bee6-aa5f0c62aaa4","1","57"
