Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Compensation & Benefit)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Statistika, Teknik Informatika, Matematika, Teknik Industri, Ekonomi, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=fb345b62-3b7a-4e08-81c2-9232fe90afb9","2","46"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Security Policy, Standard & RM)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Kriminologi, Hukum Pidana","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=043566a8-dca9-47db-9d9f-90e68307f6c2","1","6"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Human Capital Business Partner II)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ebcfd960-dcc2-4825-a477-857bc87dfe76","3","30"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Enterprise IT (Business Relation & PMO)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Sistem Informasi, Teknik Industri, Manajemen, Business Information Technology","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=91887da4-8fae-4aa1-9e16-90fc6d056601","4","109"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Procurement (Procurement System & Catalog)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Sistem Informatika, Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=beb7d914-7993-4587-9ded-88d4e59178d9","2","15"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Keuangan (Financial Planning & Performance Upstream)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Manajemen Keuangan, Akuntansi, Teknik Industri, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a7045e27-9fb9-4394-8f2b-88e346f28bc7","1","28"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Internal Audit (Audit Policy, Plan.& QA)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Desain Multimedia, Desain Grafis, Desain Komunikasi Visual, Ilmu Komputer, Ilmu Komunikasi, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9126fcee-e255-4a6e-87b7-8a9b563d7a8d","1","11"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Land Acquisition)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=62d40d20-18d1-4b5c-92db-8ae79a08bc57","1","22"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Environment Policy, Standard & RM)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9dc66621-99f0-4e25-9e62-8389bbd8b25b","1","43"
