Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Manager Engineering","PT Pertamina","Tidak tertera","Tidak tertera","Energy","S1","Teknik Elektro","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=edb71d92-038b-40ff-b4c0-8c5018cea927","1","47"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi IM (Infrastructure Management & Optimization)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Elektro","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0ffc5fd2-f683-4418-a118-8db4062f0aa9","1","30"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Aviation Overseas Sales","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ekonomi, Manajemen, Ilmu Sosial","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=78e0efbe-3690-4da9-9e93-913e2fbb659e","1","54"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Crude & Black Oil Shipping Operation","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Transportasi Laut, Teknik Industri, Perkapalan, Sistem Perkapalan, IT","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9f6917e5-c664-4952-abc4-937325054ce2","1","27"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Investor Relation","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Akuntansi, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=9a8ba441-b27a-4427-9ca9-936b4e3d0e9c","2","28"
"INTERNSHIP 2026 - PT Pertamina Patra Niaga - Data Strategy & Privacy Office I","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Hukum Teknologi, Privacy Law","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=a4b2d7f4-d0c5-4896-b2f1-945523d81556","1","17"
"INTERNSHIP 2026 - PT Permata Graha Nusantara - Fungsi QHSSE","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Kesehatan Masyarakat","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=56a7198c-1480-47ba-8449-960d76198108","1","60"
"INTERNSHIP 2026 - PT Gagas Energi Indonesia - Fungsi Organization and People Management","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Industri, Manajemen, Administrasi, Administrasi Bisnis, Psikologi, Manajemen Sumber Daya Manusia, Administrasi Perkantoran, Ilmu Komunikasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=61885219-5400-4d2c-b1a7-97209f64c162","1","192"
"INTERNSHIP 2026 - PT Pertamina Gas - Fungsi Corporate Finance & Tax","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Ilmu Akuntansi, Ilmu Manajemen, Ilmu Ekonomi, Ilmu Pajak","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=2b87e8bf-f8eb-4992-b6df-9771069f699f","1","88"
