Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Sustainability Policy & Governance)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","International Relations, Economics, Communications, Industrial Engineering, Management","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f6497d98-88a9-4c11-b58e-0c235cfb3de5","1","28"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Sustainability Embedment & Partnership)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","International Relations, Economics, Communications, Industrial Engineering, Management, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8d92e643-2a03-4874-b38d-0c272ad04e41","2","40"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (HSE Training Center)","PT Pertamina","Kota Palembang","Oil & Energy","Energy","D4/S1","Accounting, Manajemen Marketing","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=50f7d9de-d9cf-423e-a284-07a1dd25abb6","2","55"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Performance & Communication)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Desain Komunikasi Visual, Keselamatan dan Kesehatan Kerja (K3), IT","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=26ee9caf-6dfc-4c34-8117-06a2144eac4b","1","33"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (Process Safety Policy, Standard & RM)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Kimia, Teknik Fisika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f8766792-e907-4400-aecd-06ae8336e642","1","23"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services Finance (Invoice Payment Downstream)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Akuntansi, Manajemen, Perpajakan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f9f21a37-403c-4157-8122-02f883f5d342","1","29"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Power Development & Storage Management Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Teknik Mesin, Teknik Kimia, Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=77a3c8a6-0ea7-4cdb-a7a8-646e3d603414","2","26"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Corporate Secretary (Media Communication)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Komunikasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f99ffbe7-a6a0-4d6d-981e-6751b35a43f1","1","90"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Keuangan (Grant Management)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Manajemen, Hubungan Internasional dan Ilmu Komunikasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=073a0534-f0dc-4564-8bb9-63e0aa0dbb0b","1","14"
